Name,Ticker,Symbol,Symbol2,Sector,TIDM,
C4X DISCOVERY HOLDINGS PLC,C4XD,LON:C4XD,C4XD.L,Pharmaceuticals & Biotechnology,C4XD,
CADENCE MINERALS PLC,KDNC,LON:KDNC,KDNC.L,Mining,KDNC,
CALEDONIA MINING CORP PLC,CMCL,LON:CMCL,CMCL.L,Mining,CMCL,
CALEDONIAN TRUST PLC,CNN,LON:CNN,CNN.L,Real Estate Investment & Services,CNN,
CAMBIUM GLOBAL TIMBERLAND LD,TREE,LON:TREE,TREE.L,Forestry & Paper,TREE,
CAMBRIA AFRICA PLC,CMB,LON:CMB,CMB.L,Equity Investment Instruments,CMB,
CAMBRIA AUTOMOBILES PLC,CAMB,LON:CAMB,CAMB.L,General Retailers,CAMB,
CAMBRIDGE COGNITION HOLDINGS PLC,COG,LON:COG,COG.L,Health Care Equipment & Services,COG,
CAMELLIA PLC,CAM,LON:CAM,CAM.L,Food Producers,CAM,
CAMPER & NICHOLSONS MARINA INV LD,CNMI,LON:CNMI,CNMI.L,Real Estate Investment & Services,CNMI,
CAP-XX LD,CPX,LON:CPX,CPX.L,Electronic & Electrical Equipment,CPX,
CARETECH HOLDINGS PLC,CTH,LON:CTH,CTH.L,Health Care Equipment & Services,CTH,
CARIBBEAN INVESTMENT HOLDINGS LTD,CIHL,LON:CIHL,CIHL.L,Banks,CIHL,
CASPIAN SUNRISE PLC,CASP,LON:CASP,CASP.L,Oil & Gas Producers,CASP,
CASTLETON TECHNOLOGY PLC,CTP,LON:CTP,CTP.L,Software & Computer Services,CTP,
CATALYST MEDIA GROUP PLC,CMX,LON:CMX,CMX.L,Media,CMX,
CELLCAST PLC,CLTV,LON:CLTV,CLTV.L,Media,CLTV,
CELLO GROUP PLC,CLL,LON:CLL,CLL.L,Media,CLL,
CELTIC PLC,CCP,LON:CCP,CCP.L,Travel & Leisure,CCP,
CENKOS SECURITIES PLC,CNKS,LON:CNKS,CNKS.L,General Financial,CNKS,
CENTRAL ASIA METALS PLC,CAML,LON:CAML,CAML.L,Mining,CAML,
CENTRALNIC GROUP PLC,CNIC,LON:CNIC,CNIC.L,Software & Computer Services,CNIC,
CENTRAL RAND GOLD LIMITED,CRND,LON:CRND,CRND.L,Mining,CRND,
CEPS PLC,CEPS,LON:CEPS,CEPS.L,Support Services,CEPS,
CERES POWER HOLDINGS PLC,CWR,LON:CWR,CWR.L,Alternative Energy,CWR,
CERILLION PLC,CER,LON:CER,CER.L,Software & Computer Services,CER,
CHAARAT GOLD HOLDINGS LD,CGH,LON:CGH,CGH.L,Mining,CGH,
CHAMBERLIN PLC,CMH,LON:CMH,CMH.L,Industrial Engineering,CMH,
CHARACTER GROUP PLC,CCT,LON:CCT,CCT.L,Leisure Goods,CCT,
CHARIOT OIL & GAS LD,CHAR,LON:CHAR,CHAR.L,Oil & Gas Producers,CHAR,
CHINA AFRICA RESOURCES PLC,CAF,LON:CAF,CAF.L,Mining,CAF,
CHINA NEW ENERGY LIMITED,CNEL,LON:CNEL,CNEL.L,Alternative Energy,CNEL,
CHINA NONFERROUS GOLD LD,CNG,LON:CNG,CNG.L,Mining,CNG,
CHRISTIE GROUP PLC,CTG,LON:CTG,CTG.L,Support Services,CTG,
CHURCHILL CHINA PLC,CHH,LON:CHH,CHH.L,Household Goods,CHH,
CIRCLE HOLDINGS PLC,CIRC,LON:CIRC,CIRC.L,Health Care Equipment & Services,CIRC,
CIRCLE PROPERTY PLC,CRC,LON:CRC,CRC.L,Real Estate Investment & Services,CRC,
CITYFIBRE INFRASTRUCTURE HLDGS PLC,CITY,LON:CITY,CITY.L,Fixed Line Telecommunications,CITY,
CITY OF LONDON GROUP PLC,CIN,LON:CIN,CIN.L,General Financial,CIN,
CLEAR LEISURE PLC,CLP,LON:CLP,CLP.L,General Financial,CLP,
CLEARSTAR INC.,CLSU,LON:CLSU,CLSU.L,Software & Computer Services,CLSU,
CLINIGEN GROUP PLC,CLIN,LON:CLIN,CLIN.L,Pharmaceuticals & Biotechnology,CLIN,
CLONTARF ENERGY PLC,CLON,LON:CLON,CLON.L,Oil & Gas Producers,CLON,
CLOUDBUY PLC,CBUY,LON:CBUY,CBUY.L,Software & Computer Services,CBUY,
CLOUDCALL GROUP PLC,CALL,LON:CALL,CALL.L,Software & Computer Services,CALL,
CLUFF NATURAL RESOURCES PLC,CLNR,LON:CLNR,CLNR.L,General Financial,CLNR,
COAL OF AFRICA LIMITED,CZA,LON:CZA,CZA.L,Mining,CZA,
COGENPOWER PLC,CGP,LON:CGP,CGP.L,Alternative Energy,CGP,
COHORT PLC,CHRT,LON:CHRT,CHRT.L,Aerospace & Defense,CHRT,
COLEFAX GROUP PLC,CFX,LON:CFX,CFX.L,Household Goods,CFX,
COLLAGEN SOLUTIONS PLC,COS,LON:COS,COS.L,Health Care Equipment & Services,COS,
COMPTOIR GROUP PLC,COM,LON:COM,COM.L,Travel & Leisure,COM,
CONCEPTA PLC,CPT,LON:CPT,CPT.L,Health Care Equipment & Services,CPT,
CONCHA PLC,CHA,LON:CHA,CHA.L,Personal Goods,CHA,
CONCURRENT TECHNOLOGIES PLC,CNC,LON:CNC,CNC.L,Technology Hardware & Equipment,CNC,
CONDOR GOLD PLC,CNR,LON:CNR,CNR.L,Mining,CNR,
CONNEMARA MINING COMPANY PLC,CON,LON:CON,CON.L,Mining,CON,
CONROY GOLD & NATURAL RESOURCES PLC,CGNR,LON:CGNR,CGNR.L,Mining,CGNR,
CONVIVIALITY PLC,CVR,LON:CVR,CVR.L,Food & Drug Retailers,CVR,
CONYGAR INVESTMENT COMPANY PLC,CIC,LON:CIC,CIC.L,Real Estate Investment & Services,CIC,
CORAL PRODUCTS PLC,CRU,LON:CRU,CRU.L,General Industrials,CRU,
CORERO NETWORK SECURITY PLC,CNS,LON:CNS,CNS.L,Software & Computer Services,CNS,
CORETX HOLDINGS PLC,COR,LON:COR,COR.L,Travel & Leisure,COR,
CPL RESOURCES PLC,CPS,LON:CPS,CPS.L,Support Services,CPS,
CPPGROUP PLC,CPP,LON:CPP,CPP.L,Support Services,CPP,
CRANEWARE PLC,CRW,LON:CRW,CRW.L,Software & Computer Services,CRW,
CRAVEN HOUSE CAPITAL PLC,CRV,LON:CRV,CRV.L,General Financial,CRV,
CRAWSHAW GROUP PLC,CRAW,LON:CRAW,CRAW.L,Food & Drug Retailers,CRAW,
CREO MEDICAL GROUP PLC,CREO,LON:CREO,CREO.L,Health Care Equipment & Services,CREO,
CRIMSON TIDE PLC,TIDE,LON:TIDE,TIDE.L,Software & Computer Services,TIDE,
CROMA SECURITY SOLUTIONS GROUP PLC,CSSG,LON:CSSG,CSSG.L,Support Services,CSSG,
CRONIN GROUP PLC,CRON,LON:CRON,CRON.L,Chemicals,CRON,
CROPPER(JAMES) PLC,CRPR,LON:CRPR,CRPR.L,Forestry & Paper,CRPR,
CROSSRIDER PLC,CROS,LON:CROS,CROS.L,Media,CROS,
CRYSTAL AMBER FUND LD,CRS,LON:CRS,CRS.L,Equity Investment Instruments,CRS,
CSF GROUP PLC,CSFG,LON:CSFG,CSFG.L,Software & Computer Services,CSFG,
CURTIS BANKS GROUP PLC ,CBP,LON:CBP,CBP.L,General Financial,CBP,
CVS GROUP PLC,CVSG,LON:CVSG,CVSG.L,General Retailers,CVSG,
CYANCONNODE HOLDINGS PLC,CYAN,LON:CYAN,CYAN.L,Technology Hardware & Equipment,CYAN,
D4T4 SOLUTIONS PLC,D4T4,LON:D4T4,D4T4.L,Software & Computer Services,D4T4,
DALRADIAN RESOURCES INC.,DALR,LON:DALR,DALR.L,Mining,DALR,
DART GROUP PLC,DTG,LON:DTG,DTG.L,Travel & Leisure,DTG,
DATATEC LD,DTC,LON:DTC,DTC.L,Software & Computer Services,DTC,
DCD MEDIA PLC,DCD,LON:DCD,DCD.L,Media,DCD,
DEFENX PLC,DFX,LON:DFX,DFX.L,Software & Computer Services,DFX,
DEKELOIL PUBLIC LIMITED,DKL,LON:DKL,DKL.L,Food Producers,DKL,
DELTEX MEDICAL GROUP PLC,DEMG,LON:DEMG,DEMG.L,Health Care Equipment & Services,DEMG,
DEWHURST PLC,DWHT,LON:DWHT,DWHT.L,Electronic & Electrical Equipment,DWHT,
DIGITAL BARRIERS PLC,DGB,LON:DGB,DGB.L,Support Services,DGB,
DILLISTONE GROUP PLC,DSG,LON:DSG,DSG.L,Software & Computer Services,DSG,
DIRECTA PLUS PLC,DCTA,LON:DCTA,DCTA.L,Chemicals,DCTA,
DISTIL PLC,DIS,LON:DIS,DIS.L,Beverages,DIS,
DIURNAL GROUP PLC,DNL,LON:DNL,DNL.L,Pharmaceuticals & Biotechnology,DNL,
DIVERSIFIED GAS & OIL PLC,DGOC,LON:DGOC,DGOC.L,Oil & Gas Producers,DGOC,
DODS GROUP PLC,DODS,LON:DODS,DODS.L,Media,DODS,
DOLPHIN CAPITAL INVESTORS LD,DCI,LON:DCI,DCI.L,Real Estate Investment & Services,DCI,
DORCASTER PLC,DAR,LON:DAR,DAR.L,Nonequity Investment Instruments,DAR,
DOTDIGITAL GROUP PLC,DOTD,LON:DOTD,DOTD.L,Software & Computer Services,DOTD,
DP POLAND PLC,DPP,LON:DPP,DPP.L,Travel & Leisure,DPP,
DRAGANFLY INVESTMENTS LTD,DRG,LON:DRG,DRG.L,General Financial,DRG,
DRAGON-UKRAINIAN PROP. & DEV. PLC,DUPD,LON:DUPD,DUPD.L,Real Estate Investment & Services,DUPD,
DRAPER ESPRIT PLC,GROW,LON:GROW,GROW.L,General Financial,GROW,
DRIVER GROUP PLC,DRV,LON:DRV,DRV.L,Support Services,DRV,
DUKE ROYALTY LIMITED,DUKE,LON:DUKE,DUKE.L,General Financial,DUKE,
